pmid;title/abstract;sentence_id;sentence;plant;disease;relation;trigger;e1start;e1end;e2start;e2end
8805113;a;0;The effect of a locally applied peppermint oil preparation on tension-type headache was examined in the design of a randomized, placebo-controlled double-blind crossover study for the first time. ;peppermint;tension-type headache;Negative;o;32;42;62;83
8805113;a;6;Each headache attack was treated by the application of 2 capsules of the oral medication (1,000 mg of acetaminophen or placebo) and the cutaneous application of the oil preparation ( peppermint oil or placebo solution). ;peppermint;headache;Negative;o;183;193;5;13
8805113;a;9;Compared to the application of placebo, a 10% peppermint oil in ethanol solution significantly reduced the clinical headache intensity already after 15 minutes (p < 0.01). ;peppermint;headache;Treatment_of_disease;o;46;56;116;124
8805113;a;15;This controlled study showed for the first time that a 10% peppermint oil in ethanol solution efficiently alleviates tension-type headache . ;peppermint;tension-type headache;Treatment_of_disease;o;59;69;117;138
8824512;t;0;Effect on an aqueous extract of selenium-enriched garlic on in vitro markers and in vivo efficacy in cancer prevention. ;garlic;cancer;Treatment_of_disease;o;50;56;101;107
8824512;a;0;Previous work has shown that the efficacy of cancer prevention by selenium-enriched garlic (Se-garlic) is primarily dependent on the action of selenium. ;garlic;cancer;Treatment_of_disease;o;84;90;45;51
8824512;a;0;Previous work has shown that the efficacy of cancer prevention by selenium-enriched garlic (Se- garlic ) is primarily dependent on the action of selenium. ;garlic;cancer;Treatment_of_disease;o;84;90;45;51
8824512;a;7;The chemopreventive efficacy of the two garlic extracts was also investigated in the rat methylnitrosourea mammary tumor model. ;garlic;tumor;Treatment_of_disease;o;40;46;115;120
8824512;a;9;Significant cancer protection was observed with treatment by the Se- garlic extract (at 3 p.p.m. ;garlic;cancer;Treatment_of_disease;o;69;75;12;18
8865119;a;1;Data from a large, hospital-based case-control study are used to examine the association of smoking-related risk factors (amount smoked, filter status, mentholation, and differences in smoking habits between blacks and whites) and selected factors other than smoking (environmental tobacco smoke, previous primary cancer and radiotherapy, reproductive and endocrine factors, and body mass index) with lung cancer. ;tobacco;cancer;Negative;o;282;289;314;320
8865119;a;1;Data from a large, hospital-based case-control study are used to examine the association of smoking-related risk factors (amount smoked, filter status, mentholation, and differences in smoking habits between blacks and whites) and selected factors other than smoking (environmental tobacco smoke, previous primary cancer and radiotherapy, reproductive and endocrine factors, and body mass index) with lung cancer . ;tobacco;lung cancer;Negative;o;282;289;401;412
8865119;a;3;In blacks and whites of both sexes, odds ratios for lung cancer increased with increasing cumulative tobacco tar intake and decreased with years since quitting smoking. ;tobacco;lung cancer;Cause_of_disease;o;101;108;52;63
8865119;a;5;Exposure to environmental tobacco smoke generally showed little relation to lung cancer risk. ;tobacco;lung cancer;Negative;o;26;33;76;87
8865119;a;10;"In conclusion, variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens; (2) differences in factors which modify the effect of tobacco smoke, including differences in host susceptibility and metabolism of carcinogens, or (3) differences in exposure to other independent risk factors for lung cancer. ";tobacco;lung cancer;Negative;o;122;129;28;39
8865119;a;10;"In conclusion, variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens; (2) differences in factors which modify the effect of tobacco smoke, including differences in host susceptibility and metabolism of carcinogens, or (3) differences in exposure to other independent risk factors for lung cancer . ";tobacco;lung cancer;Negative;o;122;129;28;39
8865119;a;10;"In conclusion, variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens; (2) differences in factors which modify the effect of tobacco smoke, including differences in host susceptibility and metabolism of carcinogens, or (3) differences in exposure to other independent risk factors for lung cancer. ";tobacco;lung cancer;Negative;o;122;129;28;39
8865119;a;10;"In conclusion, variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens; (2) differences in factors which modify the effect of tobacco smoke, including differences in host susceptibility and metabolism of carcinogens, or (3) differences in exposure to other independent risk factors for lung cancer . ";tobacco;lung cancer;Negative;o;122;129;28;39
8983097;a;9;The overall findings of this study suggest that EPPL is a valuable indicator of lung cancer risk and that exposure to environmental tobacco smoke is associated with higher EPPL levels and therefore with higher lung cancer risk. ;tobacco;lung cancer;Cause_of_disease;x;132;139;80;91
8983097;a;9;The overall findings of this study suggest that EPPL is a valuable indicator of lung cancer risk and that exposure to environmental tobacco smoke is associated with higher EPPL levels and therefore with higher lung cancer risk. ;tobacco;lung cancer;Negative;o;132;139;80;91
9060235;a;0;In a tribal village in Kerala, India, local volunteers were trained to work in a programme for the primary prevention of tobacco -related cancers and the secondary prevention of common cancers. ;tobacco;cancers;Cause_of_disease;o;121;128;138;145
9060235;a;0;In a tribal village in Kerala, India, local volunteers were trained to work in a programme for the primary prevention of tobacco -related cancers and the secondary prevention of common cancers . ;tobacco;cancers;Negative;o;121;128;138;145
9060235;a;1;They gathered data on the use of tobacco and alcohol in a population of some 19,000 people, and identified one or more warning signals of cancer in 430 persons, who were subsequently examined by physicians. ;tobacco;cancer;Negative;o;33;40;138;144
9091843;t;0;[ Sabal serrulata extract in the management of symptoms of prostatic hypertrophy ]. ;Sabal serrulata;prostatic hypertrophy;Treatment_of_disease;o;2;17;59;80
9091843;a;0;The effectiveness of Sabal serrulata (dwarf palm) extract was evaluated in the treatment of 38 patients with symptomatic prostatic hyperplasia . ;Sabal serrulata;prostatic hyperplasia;Negative;o;21;36;121;142
9091843;a;0;The effectiveness of Sabal serrulata ( dwarf palm ) extract was evaluated in the treatment of 38 patients with symptomatic prostatic hyperplasia . ;dwarf palm;prostatic hyperplasia;Negative;o;39;49;123;144
9091843;a;7;On the basis of their favorable experience the authors recommend the administration of Sabal serrulata extract in the treatment of patients with mild or moderate symptoms of prostatic hyperplasia . ;Sabal serrulata;prostatic hyperplasia;Treatment_of_disease;o;87;102;174;195
9121937;a;2;The incidence of stomach cancer is lower in individuals and populations with high Allium vegetable intakes. ;Allium;stomach cancer;Treatment_of_disease;o;82;88;17;31
9121937;a;5;As part of our study of the role of Allium vegetable intake on cancer prevention, we wished to investigate its antimicrobial activity against H. pylori. ;Allium;cancer;Negative;o;36;42;63;69
9121937;a;10;It is plausible that the sensitivity of H. pylori to garlic extract at such low concentration may be related to the reported lower risk of stomach cancer in those with a high Allium vegetable intake. ;garlic;stomach cancer;Treatment_of_disease;o;53;59;139;153
9121937;a;10;It is plausible that the sensitivity of H. pylori to garlic extract at such low concentration may be related to the reported lower risk of stomach cancer in those with a high Allium vegetable intake. ;Allium;stomach cancer;Negative;o;175;181;139;153
9350033;t;0;Influence of dietary capsaicin and onion on the metabolic abnormalities associated with streptozotocin induced diabetes mellitus. ;onion;metabolic abnormalities;Negative;o;35;40;48;71
9350033;t;0;Influence of dietary capsaicin and onion on the metabolic abnormalities associated with streptozotocin induced diabetes mellitus . ;onion;diabetes mellitus;Negative;o;35;40;111;128
9350033;a;0;Effect of feeding 15 mg% capsaicin diet or 3% freeze dried onion powder containing diet were examined in albino rats rendered diabetic with streptozotocin injection. ;onion;diabetic;Negative;o;59;64;126;134
9350033;a;1; Diabetic rats maintained on onion diet for 8 weeks excreted comparatively less amounts of albumin, urea, creatinine and inorganic phosphorus. ;onion;Diabetic;Treatment_of_disease;x;29;34;1;9
9350033;a;2;Dietary onion also partially reversed the abnormalities in plasma albumin, urea, creatinine and inorganic phosphorus in diabetic animals. ;onion;diabetic;Treatment_of_disease;x;8;13;120;128
9350033;a;3; Onion also produced a significant reduction in hyperglycemic status of diabetic animals. ;Onion;hyperglycemic;Treatment_of_disease;o;1;6;48;61
9350033;a;4; Diabetic rats maintained on onion diet had a lowered relative liver weight at the end of the study compared to diabetic control group. ;onion;Diabetic;Treatment_of_disease;x;29;34;1;9
9350033;a;4;Diabetic rats maintained on onion diet had a lowered relative liver weight at the end of the study compared to diabetic control group. ;onion;diabetic;Negative;o;28;33;111;119
9350033;a;5; Diabetic rats fed onion diet also exhibited lowered lipid peroxides in circulation and in urine when compared to diabetic control group. ;onion;Diabetic;Treatment_of_disease;x;19;24;1;9
9350033;a;5;Diabetic rats fed onion diet also exhibited lowered lipid peroxides in circulation and in urine when compared to diabetic control group. ;onion;diabetic;Negative;o;18;23;113;121
9350033;a;6;Blood cholesterol was lowered significantly by dietary onion in diabetic animals. ;onion;diabetic;Treatment_of_disease;x;55;60;64;72
9350033;a;9;Hepatic cholesterol, triglycerides, phospholipids which were elevated under diabetic condition were countered significantly by dietary onion . ;onion;diabetic;Treatment_of_disease;x;135;140;76;84
9350033;a;11;Thus, the study reveals that onion feeding improves the metabolic status in diabetic condition, probably because of its hypoglycemic as well as hypocholesterolemic effect. ;onion;diabetic;Treatment_of_disease;o;29;34;76;84
9350033;a;11;Thus, the study reveals that onion feeding improves the metabolic status in diabetic condition, probably because of its hypoglycemic as well as hypocholesterolemic effect. ;onion;hypoglycemic;Negative;o;29;34;120;132
9350033;a;11;Thus, the study reveals that onion feeding improves the metabolic status in diabetic condition, probably because of its hypoglycemic as well as hypocholesterolemic effect. ;onion;hypocholesterolemic;Negative;o;29;34;144;163
9464471;t;0; Garlic prevents hypertension induced by chronic inhibition of nitric oxide synthesis. ;Garlic;hypertension;Treatment_of_disease;o;1;7;17;29
9464471;a;0;It has been reported that garlic activates nitric oxide synthase in vitro and that chronic inhibition of nitric oxide (NO) synthesis by N omega-nitro-L-arginine-methyl-ester (L-NAME) induces arterial hypertension in rats. ;garlic;arterial hypertension;Treatment_of_disease;x;26;32;191;212
9464471;a;4;It was found that L-NAME induced arterial hypertension on weeks 1-4 in control rats but not in garlic -fed rats, whose blood pressure remained essentially as the basal values. ;garlic;arterial hypertension;Treatment_of_disease;x;95;101;33;54
9464471;a;7;It was concluded that garlic blocks the L-NAME-induced hypertension by antagonizing in vivo the inhibitory effect of L-NAME on NO production. ;garlic;hypertension;Treatment_of_disease;o;22;28;55;67
9504287;a;0;We studied whether common shared environmental or behavioral risk factors, other than tobacco smoking, underlie both atherosclerotic diseases and cancer. ;tobacco;atherosclerotic diseases;Negative;o;86;93;117;141
9504287;a;0;We studied whether common shared environmental or behavioral risk factors, other than tobacco smoking, underlie both atherosclerotic diseases and cancer . ;tobacco;cancer;Negative;o;86;93;146;152
9504287;a;3;There was no consistent excess over the expected figures for any of the categories of cancer not related to tobacco smoking. ;tobacco;cancer;Negative;o;108;115;86;92
9504287;a;5;We found a moderate increase in the risk for tobacco -related cancers, which was strongest for patients with early onset of acute myocardial infarct and for female patients. ;tobacco;myocardial infarct;Cause_of_disease;x;45;52;130;148
9504287;a;5;We found a moderate increase in the risk for tobacco -related cancers , which was strongest for patients with early onset of acute myocardial infarct and for female patients. ;tobacco;cancers;Cause_of_disease;o;45;52;62;69
9536163;a;8;An excess risk of dying of lung cancer and heart diseases probably reflects a high tobacco consumption. ;tobacco;heart diseases;Cause_of_disease;o;83;90;43;57
9536163;a;8;An excess risk of dying of lung cancer and heart diseases probably reflects a high tobacco consumption. ;tobacco;lung cancer;Cause_of_disease;o;83;90;27;38
9605207;a;0;Epidemiologic and clinical studies suggest that tomato consumption may reduce the risk of cancer . ;tomato;cancer;Treatment_of_disease;o;48;54;90;96
9605207;a;1;Lycopene, a hydrocarbon carotenoid, is the major carotenoid in tomatoes and, as a potent singlet oxygen quencher, has been considered by some to be the biologically active agent responsible for the reduction of cancer risk associated with tomato consumption. ;tomato;cancer;Treatment_of_disease;o;63;69;211;217
9605207;a;1;Lycopene, a hydrocarbon carotenoid, is the major carotenoid in tomatoes and, as a potent singlet oxygen quencher, has been considered by some to be the biologically active agent responsible for the reduction of cancer risk associated with tomato consumption. ;tomatoes;cancer;Negative;o;63;71;211;217
9625398;a;3;OBJECTIVE: To determine the lipid-lowering effect of garlic powder tablets in patients with hypercholesterolemia . ;garlic;hypercholesterolemia;Negative;o;53;59;92;112
9625398;a;12;CONCLUSION: Garlic powder (900 mg/d) treatment for 12 weeks was ineffective in lowering cholesterol levels in patients with hypercholesterolemia . ;Garlic;hypercholesterolemia;Negative;o;12;18;124;144
9806160;t;0;The effects of phenethyl isothiocyanate, N-acetylcysteine and green tea on tobacco smoke-induced lung tumors in strain A/J mice. ;green tea;lung tumors;Negative;o;62;71;97;108
9806160;t;0;The effects of phenethyl isothiocyanate, N-acetylcysteine and green tea on tobacco smoke-induced lung tumors in strain A/J mice. ;tobacco;lung tumors;Cause_of_disease;o;75;82;97;108
9806160;a;6;Exposure to tobacco smoke increased lung tumor multiplicity to 1.1-1.6 tumors /lung, significantly higher than control values (0.5-1.0 tumors/lung). ;tobacco;tumors;Cause_of_disease;o;12;19;71;77
9806160;a;6;Exposure to tobacco smoke increased lung tumor multiplicity to 1.1-1.6 tumors/lung, significantly higher than control values (0.5-1.0 tumors /lung). ;tobacco;tumors;Negative;o;12;19;71;77
9806160;a;6;Exposure to tobacco smoke increased lung tumor multiplicity to 1.1-1.6 tumors/lung, significantly higher than control values (0.5-1.0 tumors/lung). ;tobacco;lung tumor;Cause_of_disease;o;12;19;36;46
9806160;a;8;In positive control experiments, PEITC significantly reduced both lung tumor multiplicity and incidence in mice treated with the tobacco smoke-specific carcinogen 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK). ;tobacco;lung tumor;Negative;o;129;136;66;76
9806160;a;10; Green tea extract did not reduce lung tumor multiplicity in animals treated with a single dose of NNK. ;Green tea;lung tumor;Negative;o;1;10;34;44
9823823;t;0;The efficacy of Ginkgo biloba on cognitive function in Alzheimer disease . ;Ginkgo biloba;Alzheimer disease;Treatment_of_disease;o;16;29;55;72
9823823;a;0;OBJECTIVE: To determine the effect of treatment with Ginkgo biloba extract on objective measures of cognitive function in patients with Alzheimer disease ( AD ) based on formal review of the current literature. ;Ginkgo biloba;AD;Negative;o;53;66;156;158
9823823;a;0;OBJECTIVE: To determine the effect of treatment with Ginkgo biloba extract on objective measures of cognitive function in patients with Alzheimer disease (AD) based on formal review of the current literature. ;Ginkgo biloba;Alzheimer disease;Negative;o;53;66;136;153
9823823;a;1;METHODS: An attempt was made to identify all English and non-English-language articles in which G. biloba extract was given to subjects with dementia or cognitive impairment. ;G. biloba;dementia;Negative;o;96;105;141;149
9823823;a;1;METHODS: An attempt was made to identify all English and non-English-language articles in which G. biloba extract was given to subjects with dementia or cognitive impairment . ;G. biloba;cognitive impairment;Negative;o;96;105;153;173
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression, other neurologic disease, and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;AD;Negative;o;652;658;143;145
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders , Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression, other neurologic disease, and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;Mental Disorders;Negative;o;653;659;193;209
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression, other neurologic disease, and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;Neurological Disorders;Negative;o;652;658;259;281
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression, other neurologic disease, and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;Stroke-Alzheimer's Disease;Negative;o;652;658;286;312
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression, other neurologic disease , and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;neurologic disease;Negative;o;653;659;547;565
9823823;a;2;"Inclusion criteria for the meta-analysis were (1) sufficiently characterized patients such that it was clearly stated there was a diagnosis of AD by either Diagnostic and Statistical Manual of Mental Disorders, Revised Third Edition, or National Institute of Neurological Disorders and Stroke-Alzheimer's Disease and Related Disorders Association criteria, or there was enough clinical detail to determine this by our review; (2) clearly stated study exclusion criteria, ie, those studies that did not have stated exclusions for depression , other neurologic disease, and central nervous system-active medications were excluded; (3) use of standardized ginkgo extract in any stated dose; (4) randomized, placebo-controlled and double-blind study design; (5) at least 1 outcome measure was an objective assessment of cognitive function; and (6) sufficient statistical information to allow for meta-analysis. ";ginkgo;depression;Negative;o;653;659;529;539
9823823;a;8;CONCLUSIONS: Based on a quantitative analysis of the literature there is a small but significant effect of 3- to 6-month treatment with 120 to 240 mg of G. biloba extract on objective measures of cognitive function in AD . ;G. biloba;AD;Treatment_of_disease;x;153;162;218;220
9823823;a;12;Additional research will be needed to define which ingredients in the ginkgo extract are producing its effect in individuals with AD . ;ginkgo;AD;Treatment_of_disease;x;70;76;130;132
10485439;t;0; Wheat bran decreases aberrant crypt foci, preserves normal proliferation, and increases intraluminal butyrate levels in experimental colon cancer . ;Wheat;colon cancer;Treatment_of_disease;x;1;6;134;146
10485439;t;0; Wheat bran decreases aberrant crypt foci , preserves normal proliferation, and increases intraluminal butyrate levels in experimental colon cancer. ;Wheat;aberrant crypt foci;Treatment_of_disease;o;1;6;22;41
10485439;a;0;BACKGROUND: Dietary wheat bran protects against colon cancer , but the mechanism(s) of this effect is not known. ;wheat;colon cancer;Treatment_of_disease;o;20;25;48;60
10485439;a;1;Butyrate, produced by colonic bacterial fermentation of dietary polysaccharides, such as wheat bran, induces apoptosis and decreases proliferation in colon cancer cell lines. ;wheat;colon cancer;Treatment_of_disease;x;89;94;150;162
10485439;a;7;RESULTS: During tumor initiation, wheat bran produced greater apoptosis (p = .01), a trend toward less proliferation, and preserved the normal zone of proliferation (p = .01). ;wheat;tumor;Treatment_of_disease;x;34;39;16;21
10485439;a;8;"At tumor promotion, wheat bran decreased the number of ACF (proximal colon, p = .005; distal colon, p = .047) and maintained the normal proliferative zone. ";wheat;tumor;Treatment_of_disease;x;20;25;3;8
10485439;a;8;"At tumor promotion, wheat bran decreased the number of ACF (proximal colon, p = .005; distal colon, p = .047) and maintained the normal proliferative zone. ";wheat;ACF;Treatment_of_disease;o;20;25;55;58
10485439;a;10;" Wheat bran produced significantly higher fecal butyrate (p = .01; .004, .00001) levels than the fiber-free diet throughout the tumor promotion study. ";Wheat;tumor;Negative;o;1;6;128;133
10485439;a;11;CONCLUSIONS: Wheat bran increased apoptosis and controlled proliferation during tumor initiation and resulted in decreased ACF. ;Wheat;tumor;Treatment_of_disease;x;13;18;80;85
10485439;a;11;CONCLUSIONS: Wheat bran increased apoptosis and controlled proliferation during tumor initiation and resulted in decreased ACF . ;Wheat;ACF;Treatment_of_disease;o;13;18;123;126
10500021;a;9;Among specific foods high in carotenoids, broccoli and spinach were most consistently associated with a lower risk of cataract . ;broccoli;cataract;Treatment_of_disease;o;42;50;118;126
10500021;a;9;Among specific foods high in carotenoids, broccoli and spinach were most consistently associated with a lower risk of cataract . ;spinach;cataract;Treatment_of_disease;o;55;62;118;126
10660216;t;0;Effects of soybean diet on the beta cells in the streptozotocin treated rats for induction of diabetes . ;soybean;diabetes;Negative;o;11;18;94;102
10660216;a;1;In the present study, we showed that dietary soybean prevents induction of experimental hyperglycemia by retaining beta cell activity. ;soybean;hyperglycemia;Treatment_of_disease;o;45;52;88;101
10660216;a;6;Moreover, a prolonged hyperglycemia was not observed in rats fed raw soybean even when this was substituted by the normal diet after streptozotocin injection. ;soybean;hyperglycemia;Cause_of_disease;x;69;76;22;35
10660216;a;9;Therefore, we suggest that dietary soybean protected the streptozotocin-induced beta cell damage and restrained the development of hyperglycemia in rats. ;soybean;hyperglycemia;Treatment_of_disease;o;35;42;131;144
10720168;a;0;Several epidemiologic studies have suggested a role of tomato products in protecting against cancer and chronic diseases. ;tomato;cancer;Treatment_of_disease;o;55;61;93;99
10720168;a;0;Several epidemiologic studies have suggested a role of tomato products in protecting against cancer and chronic diseases . ;tomato;chronic diseases;Treatment_of_disease;o;55;61;104;120
10743678;a;5;Histopathological studies of the specimens obtained from basilar arteries showed that pathological signs of proliferative vasculopathy , including narrowing of the vessel lumen, corrugation of the lamina elastica and subendothelial thickening, were present in all the animals in the control group, while they could not be demonstrated in the Ginkgo biloba group. ;Ginkgo biloba;proliferative vasculopathy;Treatment_of_disease;x;342;355;108;134
10743678;a;5;Histopathological studies of the specimens obtained from basilar arteries showed that pathological signs of proliferative vasculopathy, including narrowing of the vessel lumen , corrugation of the lamina elastica and subendothelial thickening, were present in all the animals in the control group, while they could not be demonstrated in the Ginkgo biloba group. ;Ginkgo biloba;narrowing of the vessel lumen;Treatment_of_disease;x;342;355;146;175
10743678;a;6;These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage -induced vasospasm and vasculopathy as a result of antioxidants. ;Ginkgo biloba;subarachnoid hemorrhage;Treatment_of_disease;o;27;40;78;101
10743678;a;6;These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage-induced vasospasm and vasculopathy as a result of antioxidants. ;Ginkgo biloba;vasospasm;Treatment_of_disease;o;27;40;110;119
10743678;a;6;These results suggest that Ginkgo biloba may have a protective effect against subarachnoid hemorrhage-induced vasospasm and vasculopathy as a result of antioxidants. ;Ginkgo biloba;vasculopathy;Treatment_of_disease;o;27;40;124;136
10943000;a;1; Hepatitis was induced by the oral administration of 10% solution CCl4 in olive oil at a dosage of 3 ml/kg body weight every day during 7 days. ;olive;Hepatitis;Negative;o;74;79;1;10
10955007;a;4;Prevalence, extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ;tobacco;periodontitis;Cause_of_disease;o;104;111;35;48
10955007;a;4;Prevalence, extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ;tobacco;tooth loss;Cause_of_disease;o;104;111;60;70
10955007;a;4;Prevalence, extent and severity of periodontitis as well as tooth loss and edentulism are influenced by tobacco consumption in a dose-dependent manner. ;tobacco;edentulism;Cause_of_disease;o;104;111;75;85
10971235;t;0;The effect of unfiltered coffee on potential biomarkers for colonic cancer risk in healthy volunteers: a randomized trial. ;coffee;colonic cancer;Negative;o;25;31;60;74
10971235;a;0;BACKGROUND: Epidemiologic studies suggest that coffee use might protect against colorectal cancer . ;coffee;colorectal cancer;Treatment_of_disease;o;47;53;80;97
10971235;a;1;Inconsistencies as to the effect of coffee use and colorectal cancer between epidemiologic studies might be related to the type of coffee brew. ;coffee;colorectal cancer;Negative;o;36;42;51;68
10971235;a;1;Inconsistencies as to the effect of coffee use and colorectal cancer between epidemiologic studies might be related to the type of coffee brew. ;coffee;colorectal cancer;Negative;o;36;42;51;68
10971235;a;2;OBJECTIVE: We studied the effect of unfiltered coffee consumption on putative biomarkers for colonic cancer risk. ;coffee;colonic cancer;Negative;o;47;53;93;107
11010950;t;0; Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers. ;Garlic;cancer;Negative;o;1;7;24;30
11010950;t;0; Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers . ;Garlic;colorectal and stomach cancers;Negative;o;1;7;60;90
11010950;t;0; Garlic consumption and cancer prevention: meta-analyses of colorectal and stomach cancers . ;Garlic;stomach cancers;Negative;o;1;7;75;90
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;stomach, colon, head and neck, lung, breast, and prostate cancers;Negative;o;113;119;144;209
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;prostate cancers;Negative;o;113;119;193;209
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;breast, and prostate cancers;Negative;o;113;119;181;209
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;lung, breast, and prostate cancers;Negative;o;113;119;175;209
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;head and neck, lung, breast, and prostate cancers;Negative;o;113;119;160;209
11010950;a;1;OBJECTIVE: The objective was to conduct meta-analyses of the epidemiologic literature on the association between garlic consumption and risk of stomach, colon, head and neck, lung, breast, and prostate cancers . ;garlic;colon, head and neck, lung, breast, and prostate cancers;Negative;o;113;119;153;209
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic , cooked garlic, or both (RC garlic). ;garlic;cancers;Negative;o;158;164;45;52
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic , cooked garlic, or both (RC garlic). ;garlic;colorectal and stomach cancers;Negative;o;158;164;81;111
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic , cooked garlic, or both (RC garlic). ;garlic;stomach cancers;Negative;o;158;164;96;111
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic, cooked garlic , or both (RC garlic). ;garlic;cancers;Negative;o;158;164;45;52
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic, cooked garlic , or both (RC garlic). ;garlic;colorectal and stomach cancers;Negative;o;158;164;81;111
11010950;a;2;DESIGN: Meta-analyses were conducted for all cancers mutually and separately for colorectal and stomach cancers in relation to consumption of exclusively raw garlic, cooked garlic , or both (RC garlic). ;garlic;stomach cancers;Negative;o;158;164;96;111
